,OverallQual,GrLivArea,GarageArea,Neighborhood,1stFlrSF,BsmtFinSF1,LotArea,YearBuilt,LotFrontage,BsmtUnfSF,OpenPorchSF,YearRemodAdd,WoodDeckSF,MasVnrArea,OverallCond,2ndFlrSF,MoSold,ExterQual,BsmtQual_Gd,GarageFinish_RFn,Id,SalePrice
41,5,884,504.0,186555.7966101695,884,747.0,9180,1983,43.324329245622046,0.0,0,1983,240,0.0,7,0,12,3,1,1,43,144000.0
42,5,938,308.0,196442.92617449665,938,280.0,9200,1975,43.41871776249703,167.0,0,1980,145,0.0,6,0,7,3,1,0,44,130250.0
43,5,1150,300.0,145847.08,1150,179.0,7945,1959,70.0,465.0,0,1959,0,0.0,6,0,5,3,0,1,45,141000.0
44,9,1752,576.0,284706.625,1752,456.0,7658,2005,61.0,1296.0,82,2005,196,412.0,5,0,2,5,0,1,46,319900.0
45,7,2149,670.0,156270.1224489796,1518,1351.0,12822,2003,48.0,83.0,43,2003,168,0.0,5,631,8,4,0,1,47,239686.0
46,8,1656,826.0,223054.89411764705,1656,24.0,11096,2006,84.0,1632.0,146,2006,0,0.0,5,0,7,4,1,1,48,249700.0
47,4,1452,0.0,125914.94594594595,736,0.0,4456,1920,33.0,736.0,0,2008,0,0.0,5,716,6,3,0,0,49,113000.0
48,5,955,386.0,136793.13513513515,955,763.0,7742,1966,66.0,192.0,0,1966,0,0.0,7,0,1,3,0,0,50,127000.0
49,6,1470,388.0,192854.50632911394,794,182.0,13869,1997,117.97273710018163,612.0,75,1997,0,0.0,6,676,7,3,1,0,51,177000.0
50,6,1176,528.0,126334.64912280702,816,0.0,6240,1934,52.0,816.0,0,1950,112,0.0,6,0,9,3,0,0,52,114500.0
51,5,816,516.0,105716.73529411765,816,104.0,8472,1963,110.0,0.0,0,1963,106,0.0,5,0,5,2,1,0,53,110000.0
52,9,1842,894.0,238772.72727272726,1842,1810.0,50271,1981,68.0,32.0,72,1987,857,0.0,5,0,11,4,0,0,54,385000.0
53,5,1360,572.0,145847.08,1360,384.0,7134,1955,60.0,0.0,50,1955,0,0.0,5,0,2,3,0,0,55,130000.0
54,6,1425,576.0,145847.08,1425,490.0,10175,1964,100.0,935.0,0,1964,0,272.0,5,0,7,3,0,1,56,180500.0
55,8,1739,480.0,223054.89411764705,983,649.0,2645,1999,24.0,321.0,0,2000,115,456.0,5,756,8,4,1,0,57,172500.0
56,7,1720,565.0,196442.92617449665,860,0.0,11645,2004,89.0,860.0,70,2004,0,0.0,5,860,8,4,1,1,58,196500.0
57,5,780,352.0,196442.92617449665,780,632.0,7200,1972,60.0,148.0,0,1972,196,0.0,7,0,1,3,0,0,60,124900.0
58,6,1158,576.0,186555.7966101695,1158,941.0,13072,2004,63.0,217.0,50,2004,0,0.0,5,0,5,3,1,0,61,158000.0
59,5,1111,288.0,105716.73529411765,581,0.0,7200,1920,60.0,530.0,0,1996,0,0.0,7,530,3,3,0,0,62,101000.0
60,8,1370,484.0,284706.625,1370,24.0,6442,2006,44.0,1346.0,49,2006,120,178.0,5,0,10,4,1,1,63,202500.0
61,7,1710,480.0,125914.94594594595,902,0.0,10300,1921,50.0,576.0,11,1950,12,0.0,6,808,4,3,0,0,64,140000.0
62,7,2034,645.0,196442.92617449665,1057,739.0,9375,1997,74.87248616653791,318.0,36,1998,576,573.0,5,977,2,3,1,1,65,219500.0
63,8,2473,852.0,284706.625,1143,0.0,9591,2004,76.0,1143.0,151,2005,192,344.0,5,1330,10,4,0,1,66,317000.0
64,7,2207,576.0,145847.08,2207,912.0,19900,1970,158.92933063617116,1035.0,0,1989,301,287.0,5,0,7,3,1,1,67,180000.0
65,7,1479,558.0,196442.92617449665,1479,1013.0,10665,2003,72.0,440.0,29,2003,144,167.0,5,0,6,4,1,1,68,226000.0
66,4,747,220.0,125914.94594594595,747,0.0,4608,1945,47.0,747.0,0,1950,0,0.0,6,0,6,3,0,0,69,80000.0
67,7,2287,667.0,212565.42857142858,1304,603.0,15593,1953,81.0,701.0,21,1953,0,0.0,4,983,7,4,0,0,70,225000.0
68,7,2223,516.0,145847.08,2223,1880.0,13651,1973,95.0,343.0,0,1973,300,1115.0,6,0,2,3,1,0,71,244000.0
69,4,845,360.0,156270.1224489796,845,565.0,7599,1982,69.0,280.0,0,2006,0,0.0,6,0,6,3,0,0,72,129500.0
70,7,1718,427.0,192854.50632911394,885,0.0,10141,1998,74.0,832.0,94,1998,0,40.0,5,833,12,3,1,0,73,185000.0
71,5,1086,490.0,145847.08,1086,320.0,10200,1954,85.0,404.0,0,2003,0,104.0,7,0,5,3,0,0,74,144900.0
72,3,1605,379.0,125914.94594594595,840,0.0,5790,1915,60.0,840.0,0,1950,0,0.0,6,765,5,4,0,0,75,107400.0
73,4,988,297.0,98576.4705882353,526,462.0,1596,1973,21.0,0.0,101,1973,120,0.0,5,462,11,3,1,0,76,91000.0
74,4,952,283.0,145847.08,952,228.0,8475,1956,67.68472749455027,724.0,0,1956,0,0.0,7,0,4,3,0,0,77,135750.0
75,5,1285,240.0,126334.64912280702,1072,336.0,8635,1948,50.0,295.0,0,2001,0,0.0,5,213,1,3,0,0,78,127000.0
76,4,1768,0.0,136793.13513513515,1768,0.0,10778,1968,72.0,1768.0,0,1968,0,0.0,5,0,4,3,0,0,79,136500.0
77,5,1230,440.0,125914.94594594595,682,0.0,10440,1910,60.0,440.0,0,1981,74,0.0,6,548,5,3,0,0,80,110000.0
78,6,2142,509.0,145847.08,1182,448.0,13000,1968,100.0,448.0,72,1968,0,576.0,6,960,6,3,1,0,81,193500.0
79,6,1337,405.0,156270.1224489796,1337,1201.0,4500,1998,32.0,36.0,199,1998,0,443.0,5,0,3,3,0,0,82,153500.0
80,8,1563,758.0,223054.89411764705,1563,33.0,10206,2007,78.0,1530.0,99,2007,144,468.0,5,0,10,3,1,1,83,245000.0
81,5,1065,461.0,145847.08,1065,0.0,8892,1960,80.0,1065.0,0,1960,74,66.0,5,0,7,3,0,0,84,126500.0
82,7,1474,400.0,192854.50632911394,804,0.0,8530,1995,68.12397941339397,384.0,72,1996,120,22.0,5,670,5,3,1,0,85,168500.0
83,8,2417,462.0,288200.24242424243,1301,0.0,16059,1991,121.0,1288.0,82,1992,127,284.0,5,1116,4,4,1,0,86,260000.0
84,6,1560,400.0,192854.50632911394,684,0.0,11911,2005,122.0,684.0,38,2005,100,0.0,5,876,3,4,1,0,87,174000.0
85,6,1224,528.0,223054.89411764705,612,0.0,3951,2009,40.0,612.0,234,2009,0,76.0,5,612,6,4,1,1,88,164500.0
86,3,1526,0.0,105716.73529411765,1013,0.0,8470,1915,105.0,1013.0,0,1982,0,0.0,2,0,10,2,0,0,89,85000.0
87,4,990,0.0,196442.92617449665,990,588.0,8070,1994,60.0,402.0,0,1995,0,0.0,5,0,8,3,1,0,90,123600.0
88,4,1040,420.0,145847.08,1040,0.0,7200,1950,60.0,0.0,29,1950,0,0.0,5,0,7,3,0,0,91,109900.0
89,5,1235,480.0,145847.08,1235,600.0,8500,1961,85.0,635.0,0,1961,0,203.0,3,0,12,3,0,0,92,98600.0
90,5,964,432.0,210624.72549019608,964,713.0,13360,1921,80.0,163.0,0,2006,0,0.0,7,0,8,3,1,0,93,163500.0
91,6,2291,506.0,125914.94594594595,1260,1046.0,7200,1910,60.0,168.0,0,1998,0,0.0,6,1031,11,3,0,0,94,133900.0
92,6,1786,684.0,196442.92617449665,905,648.0,9337,1997,69.0,176.0,162,1997,0,0.0,5,881,5,3,1,1,95,204750.0
93,6,1470,420.0,192854.50632911394,680,310.0,9765,1993,83.0632185293297,370.0,63,1993,232,68.0,8,790,4,5,1,0,96,185000.0
94,7,1588,472.0,196442.92617449665,1588,1162.0,10264,1999,78.0,426.0,29,1999,158,183.0,5,0,8,4,1,1,97,214000.0
95,4,960,432.0,128219.7,960,520.0,10921,1965,73.0,440.0,0,1965,120,48.0,5,0,5,3,0,0,98,94750.0
96,5,835,366.0,128219.7,835,108.0,10625,1920,85.0,350.0,0,1950,0,0.0,5,0,5,3,0,0,99,83000.0
97,4,1225,0.0,145847.08,1225,569.0,9320,1959,77.0,381.0,0,1959,352,0.0,5,0,1,3,0,0,100,128950.0
98,6,1610,480.0,189050.0684931507,1610,1200.0,10603,1977,84.67978355453883,410.0,68,2001,168,28.0,7,0,2,3,0,1,101,205000.0
99,6,1732,476.0,186555.7966101695,977,0.0,9206,1985,77.0,741.0,46,1985,192,336.0,5,755,6,4,1,0,102,178000.0
100,5,1535,410.0,186555.7966101695,1535,0.0,7018,1979,64.0,0.0,0,1979,0,0.0,5,0,6,3,0,0,103,118964.0
101,7,1226,740.0,196442.92617449665,1226,0.0,10402,2009,94.0,1226.0,36,2009,0,0.0,5,0,5,3,1,1,104,198900.0
102,7,1818,240.0,105716.73529411765,1226,224.0,7758,1931,65.99123905279465,816.0,0,1950,0,600.0,4,592,6,3,0,0,105,169500.0
103,8,1992,648.0,223054.89411764705,1053,0.0,9375,2003,75.0,1053.0,45,2004,140,768.0,5,939,8,4,0,1,106,250000.0
104,4,1047,273.0,125914.94594594595,1047,0.0,10800,1885,60.0,641.0,0,1995,0,0.0,7,0,8,3,0,0,107,100000.0
105,5,789,250.0,125914.94594594595,789,104.0,6000,1948,50.0,516.0,0,1950,0,0.0,5,0,4,3,0,0,108,115000.0
106,5,1517,0.0,105716.73529411765,997,0.0,8500,1919,85.0,793.0,0,2005,0,0.0,7,520,8,3,0,0,109,115000.0
107,6,1844,546.0,189050.0684931507,1844,705.0,11751,1977,105.0,1139.0,122,1977,0,480.0,6,0,1,3,1,1,110,190000.0
108,6,1855,325.0,128219.7,1216,444.0,9525,1954,75.0,550.0,0,1972,182,0.0,4,639,10,3,0,0,111,136900.0
109,7,1430,400.0,192854.50632911394,774,250.0,7750,2000,61.89458856433801,134.0,0,2000,180,0.0,5,656,4,3,1,0,112,180000.0
110,7,2696,792.0,196442.92617449665,1282,984.0,9965,2007,77.0,280.0,184,2007,120,220.0,5,1414,10,4,0,0,113,383970.0
111,6,2259,450.0,210624.72549019608,2259,35.0,21000,1953,178.63057748242946,905.0,120,1953,166,184.0,5,0,10,3,1,0,114,217000.0
112,6,2320,180.0,210624.72549019608,1436,774.0,7259,1945,61.0,104.0,0,2002,224,0.0,8,884,7,3,0,0,115,259500.0
113,6,1458,440.0,223054.89411764705,729,419.0,3230,1999,34.0,310.0,32,1999,0,1129.0,5,729,6,3,1,0,116,176000.0
114,5,1092,288.0,136793.13513513515,1092,170.0,11616,1962,92.77000525978714,252.0,20,1962,0,116.0,5,0,9,3,0,0,117,139000.0
115,5,1125,430.0,128219.7,1125,0.0,8536,2006,74.0,1125.0,64,2007,80,0.0,5,0,4,3,1,0,118,155000.0
116,7,3222,594.0,186555.7966101695,1699,1470.0,12376,1990,90.0,203.0,0,1990,367,0.0,5,1523,5,3,1,0,119,320000.0
117,6,1456,390.0,196442.92617449665,728,0.0,8461,2005,65.0,728.0,24,2006,0,0.0,5,728,7,4,1,0,120,163990.0
118,6,988,540.0,212565.42857142858,988,938.0,21453,1969,101.24584262596184,0.0,130,1969,0,0.0,5,0,10,3,0,0,121,180000.0
119,4,1123,264.0,105716.73529411765,772,0.0,6060,1939,50.0,732.0,0,1950,0,0.0,5,351,6,3,0,0,122,100000.0
120,6,1080,288.0,145847.08,1080,570.0,9464,1958,75.0,510.0,0,1958,0,135.0,7,0,6,3,0,0,123,136000.0
121,6,1199,530.0,186555.7966101695,1199,300.0,7892,1993,55.0,899.0,63,1993,0,0.0,5,0,3,4,1,1,124,153900.0
122,6,1586,435.0,189050.0684931507,1586,0.0,17043,1979,48.0,1362.0,0,1998,192,0.0,5,0,1,3,1,0,125,181000.0
123,6,754,0.0,105716.73529411765,520,490.0,6780,1935,60.0,30.0,0,1982,53,0.0,8,0,6,3,0,0,126,84500.0
124,6,958,440.0,142694.44444444444,958,120.0,4928,1976,39.356971928394536,958.0,205,1976,0,0.0,5,0,2,3,1,1,127,128000.0
125,5,840,0.0,125914.94594594595,840,116.0,4388,1930,55.0,556.0,0,1950,0,0.0,7,0,6,3,0,0,128,87000.0
126,6,1348,453.0,145847.08,660,512.0,7590,1966,69.0,148.0,108,1966,188,266.0,5,688,7,3,0,1,129,155000.0
127,5,1053,750.0,145847.08,1053,567.0,8973,1958,69.0,413.0,80,1991,0,85.0,7,0,7,3,0,1,130,150000.0
128,7,2157,487.0,145847.08,1216,445.0,14200,1966,88.0,479.0,66,1966,105,309.0,6,941,5,3,0,0,131,226000.0
129,6,2054,390.0,192854.50632911394,1022,695.0,12224,2000,103.98000853072465,297.0,48,2000,24,40.0,5,1032,7,4,1,1,132,244000.0
130,5,1327,624.0,145847.08,1327,405.0,7388,1959,75.0,658.0,0,2002,0,0.0,6,0,7,3,0,0,133,150750.0
131,8,1296,471.0,242247.44736842104,1296,1005.0,6853,2001,54.73078908792366,262.0,25,2002,192,136.0,5,0,6,4,0,0,134,220000.0
132,5,1721,440.0,136793.13513513515,1721,570.0,10335,1968,78.0,891.0,96,1993,0,0.0,6,0,7,3,0,1,135,180000.0
133,7,1682,530.0,189050.0684931507,1682,0.0,10400,1970,80.0,1304.0,0,1970,98,288.0,6,0,5,3,0,0,136,174000.0
134,5,1214,318.0,145847.08,1214,695.0,10355,1967,88.08188713478843,519.0,111,1967,0,196.0,5,0,7,3,0,1,137,143000.0
135,7,1959,766.0,156270.1224489796,1959,0.0,11070,1988,82.0,1907.0,0,1989,0,70.0,5,0,7,3,0,0,138,171000.0
136,8,1852,660.0,196442.92617449665,1004,668.0,9066,1999,73.0,336.0,106,2000,224,320.0,5,848,12,4,1,0,139,230000.0
137,6,1764,470.0,196442.92617449665,928,821.0,15426,1997,65.0,107.0,99,1997,276,0.0,5,836,8,3,1,1,140,231500.0
138,4,864,0.0,145847.08,864,432.0,10500,1971,70.0,432.0,0,1971,0,0.0,5,0,4,3,0,0,141,115000.0
139,7,1734,660.0,196442.92617449665,1734,1300.0,11645,2005,78.0,434.0,24,2005,160,0.0,5,0,1,4,1,0,142,260000.0
140,5,1385,720.0,145847.08,910,507.0,8520,1952,71.0,403.0,0,1952,0,0.0,4,475,6,3,0,0,143,166000.0
141,7,1501,577.0,196442.92617449665,1501,679.0,10335,1999,78.0,811.0,29,1999,144,183.0,5,0,6,4,1,1,144,204000.0
142,5,1728,504.0,136793.13513513515,1728,1332.0,9100,1963,70.0,396.0,0,1963,0,336.0,5,0,11,3,0,0,145,125000.0
143,6,1709,380.0,128219.7,970,0.0,2522,2004,24.0,970.0,40,2006,0,50.0,5,739,4,4,1,0,146,130000.0
144,5,875,180.0,126334.64912280702,875,209.0,6120,1931,51.0,506.0,0,1993,48,0.0,7,0,11,3,0,0,147,105000.0
145,7,2035,434.0,192854.50632911394,884,0.0,9505,2001,44.858142644840676,884.0,48,2001,144,180.0,5,1151,5,4,1,0,148,222500.0
146,7,1080,0.0,186555.7966101695,1080,680.0,7500,2004,63.0,400.0,0,2005,0,120.0,5,0,4,3,1,0,149,141000.0
147,5,1344,240.0,126334.64912280702,896,0.0,6240,1936,49.835126792447646,896.0,114,1950,200,0.0,4,448,4,3,1,0,150,115000.0
148,5,969,440.0,196442.92617449665,969,716.0,10356,1975,120.0,253.0,0,1975,0,0.0,6,0,1,3,0,0,151,122000.0
149,8,1710,866.0,284706.625,1710,1400.0,13891,2007,107.0,310.0,102,2008,0,436.0,5,0,1,4,0,1,152,372402.0
150,6,1993,495.0,189050.0684931507,1097,416.0,14803,1971,69.86166076502647,409.0,66,1971,0,252.0,5,896,6,3,0,1,153,190000.0
151,6,1252,564.0,212565.42857142858,1252,429.0,13500,1960,107.81638007981459,93.0,0,1975,409,0.0,7,0,3,3,1,1,154,235000.0
152,6,1200,312.0,125914.94594594595,1200,0.0,11340,1923,84.0,1200.0,0,1950,0,0.0,5,0,3,3,0,0,155,125000.0
153,6,1096,0.0,128219.7,572,0.0,9600,1924,60.0,572.0,8,1950,0,0.0,5,524,4,3,0,0,156,79000.0
154,5,1040,625.0,145847.08,1040,0.0,7200,1950,60.0,0.0,0,1950,0,0.0,7,0,6,3,0,0,157,109500.0
155,8,1968,680.0,242247.44736842104,774,0.0,12003,2009,92.0,774.0,75,2010,0,84.0,5,1194,5,4,0,0,158,269500.0
156,7,1947,678.0,223054.89411764705,991,222.0,12552,2004,100.0,769.0,136,2005,0,0.0,5,956,5,4,1,1,159,254900.0
157,7,2462,576.0,192854.50632911394,1392,57.0,19378,2005,134.0,1335.0,132,2006,239,456.0,5,1070,3,4,1,1,160,320000.0
158,6,1232,516.0,238772.72727272726,1232,660.0,11120,1984,52.480015382496404,572.0,0,1984,0,0.0,6,0,6,3,1,0,161,162500.0
159,7,1541,532.0,284706.625,1541,1201.0,12182,2005,95.0,340.0,70,2005,0,226.0,5,0,5,4,1,1,163,220000.0
160,4,882,0.0,125914.94594594595,882,0.0,5500,1956,55.0,882.0,0,1956,0,0.0,6,0,4,3,0,0,164,103200.0
161,6,1616,216.0,125914.94594594595,1149,370.0,5400,1926,40.0,779.0,0,2004,0,0.0,7,467,10,3,0,0,165,152000.0
162,5,1355,0.0,128219.7,808,351.0,10106,1940,62.0,112.0,0,1999,140,0.0,7,547,9,3,0,0,166,127500.0
163,5,1867,303.0,212565.42857142858,1867,379.0,10708,1955,85.51835539960406,470.0,0,1993,476,0.0,5,0,11,4,0,0,167,190000.0
164,8,2161,789.0,284706.625,1610,1288.0,10562,2007,86.0,294.0,120,2007,178,300.0,5,551,11,4,0,0,168,325624.0
165,7,1720,440.0,192854.50632911394,840,0.0,8244,2004,62.0,840.0,48,2004,100,0.0,5,880,5,4,1,0,169,183500.0
166,8,1707,511.0,242247.44736842104,1707,0.0,16669,1981,141.79014743117222,1686.0,64,1981,574,653.0,6,0,1,4,1,1,170,228000.0
167,5,1382,660.0,125914.94594594595,854,360.0,12358,1941,98.69591296491473,360.0,0,1950,237,0.0,6,0,5,3,0,0,171,128500.0
168,6,1656,528.0,145847.08,1656,639.0,31770,1960,141.0,441.0,62,1960,210,112.0,5,0,5,3,0,0,172,215000.0
169,7,1767,504.0,272727.4761904762,1064,495.0,5306,1987,44.0,354.0,35,1987,441,0.0,7,703,6,4,1,1,173,239000.0
170,6,1362,504.0,145847.08,1362,288.0,10197,1961,80.0,700.0,20,1961,0,491.0,5,0,6,3,0,0,174,163000.0
171,6,1651,616.0,242247.44736842104,1651,1398.0,12416,1986,47.0,0.0,0,1986,192,132.0,5,0,11,3,1,0,175,184000.0
172,6,2158,576.0,128219.7,2158,477.0,12615,1950,84.0,725.0,29,2001,0,0.0,7,0,6,3,0,0,176,243000.0
173,6,2060,521.0,212565.42857142858,1164,831.0,10029,1988,97.0,320.0,228,1989,0,268.0,5,896,9,4,1,0,177,211000.0
174,5,1920,451.0,136793.13513513515,1252,57.0,13650,1958,109.01433985847919,554.0,0,1958,0,0.0,5,668,7,4,0,0,178,172500.0
175,5,968,480.0,125914.94594594595,968,0.0,8520,1923,60.0,968.0,0,2006,0,0.0,6,0,7,4,0,0,180,100000.0
176,6,1525,440.0,223054.89411764705,769,436.0,2117,2000,16.907205676219814,320.0,0,2000,0,456.0,5,756,6,4,1,0,181,177000.0
177,7,1802,216.0,210624.72549019608,901,352.0,7588,1920,54.0,441.0,0,1950,0,0.0,6,901,7,3,0,0,182,200100.0
178,5,1340,252.0,128219.7,1340,0.0,9060,1957,60.0,0.0,0,2006,116,98.0,6,0,6,3,0,1,183,120000.0
179,7,2082,484.0,125914.94594594595,1362,0.0,11426,2003,63.0,1362.0,238,2003,280,0.0,5,720,6,3,1,0,184,200000.0
180,5,1252,576.0,126334.64912280702,936,0.0,7438,1908,92.0,504.0,0,1991,104,0.0,8,316,6,3,0,0,185,127000.0
181,7,1217,497.0,156270.1224489796,1217,611.0,9947,1990,46.94412886777804,577.0,27,1991,168,0.0,5,0,6,3,1,0,187,173000.0
182,5,1656,180.0,125914.94594594595,808,0.0,10410,1916,60.0,660.0,0,1987,0,0.0,7,704,8,3,0,0,188,135000.0
183,5,1224,528.0,186555.7966101695,1224,1086.0,7018,1979,64.0,0.0,0,1979,120,275.0,5,0,6,3,1,0,189,153337.0
184,8,1593,682.0,272727.4761904762,1593,1153.0,4923,2001,41.0,440.0,120,2002,0,0.0,5,0,8,4,0,0,190,286000.0
185,8,2727,440.0,210624.72549019608,1549,297.0,10570,1932,70.0,556.0,74,1994,0,0.0,8,1178,12,4,1,0,191,315000.0
186,7,1479,484.0,145847.08,725,626.0,7472,1972,35.263549904497594,99.0,32,2004,0,138.0,9,754,6,3,0,0,192,184000.0
187,7,1431,666.0,196442.92617449665,1431,560.0,9017,1999,68.0,871.0,35,1999,0,0.0,5,0,9,4,1,0,193,192000.0
188,7,1709,380.0,128219.7,970,0.0,2522,2004,24.0,970.0,40,2004,0,50.0,5,739,5,4,1,0,194,130000.0
189,5,864,352.0,196442.92617449665,864,390.0,7180,1972,60.0,474.0,0,1972,0,0.0,7,0,5,3,0,0,195,127000.0
190,6,1456,440.0,142694.44444444444,855,566.0,2280,1976,24.0,289.0,0,1976,87,0.0,6,601,7,3,1,0,196,148500.0
191,7,1726,786.0,223054.89411764705,1726,1126.0,9416,2007,79.0,600.0,138,2007,171,205.0,5,0,9,5,0,0,197,311872.0
192,8,3112,795.0,145847.08,1360,1036.0,25419,1918,174.0,140.0,16,1990,0,0.0,4,1360,3,4,0,0,198,235000.0
193,6,2229,0.0,125914.94594594595,929,0.0,5520,1912,92.0,755.0,198,1950,0,0.0,6,929,7,3,0,0,199,104000.0
194,8,1713,856.0,284706.625,1713,1088.0,9591,2004,76.0,625.0,26,2005,0,262.0,5,0,1,4,0,0,200,274900.0
195,4,1121,440.0,128219.7,1121,0.0,8546,2003,80.0,1121.0,64,2004,132,0.0,5,0,3,3,1,1,201,140000.0
